date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:22	89959/89959	---M--	200	added ('OK')	image/jpeg	etag:%22620b831e-15f67%22	https://boreddoge.mintings.art/images/cards/6.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/6.jpg	(from https://boreddoge.mintings.art/)
23:24:23	90343/90343	---M--	200	added ('OK')	image/jpeg	etag:%22620b8320-160e7%22	https://boreddoge.mintings.art/images/cards/7.jpeg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/cards/7.jpg	(from https://boreddoge.mintings.art/)
23:24:23	24165/24165	---M--	200	added ('OK')	image/png	etag:%2262034572-5e65%22	https://boreddoge.mintings.art/images/social/social-discord.png	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/social/social-discord.png	(from https://boreddoge.mintings.art/)
23:24:23	137917/137917	---M--	200	added ('OK')	image/png	etag:%2262034578-21abd%22	https://boreddoge.mintings.art/images/social/social-twitter.png	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/social/social-twitter.png	(from https://boreddoge.mintings.art/)
23:24:23	18795/18795	---M-Z	200	added ('OK')	application/javascript	etag:W/%22496b-DsfKR3i6PMtNGxaICUcgg0++ntM%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js	C:/WebDev/https___boreddoge.mintings.art_/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js	(from https://boreddoge.mintings.art/)
23:24:23	59219/59219	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e753-GQgMO4F5hTNqq14c5pJcmYA/Lv0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js	C:/WebDev/https___boreddoge.mintings.art_/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js	(from https://boreddoge.mintings.art/)
23:24:24	320/320	---M--	200	added ('OK')	application/x-javascript	etag:%22620343a6-140%22	https://boreddoge.mintings.art/faq.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/faq.js	(from https://boreddoge.mintings.art/)
23:24:24	1597/1597	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22620345e8-63d%22	https://boreddoge.mintings.art/scripts/animation.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/animation.js	(from https://boreddoge.mintings.art/)
23:24:24	7173/7173	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22620b8754-1c05%22	https://boreddoge.mintings.art/scripts/main.js?ver=0.0.4	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/main61e5.js	(from https://boreddoge.mintings.art/)
23:24:24	17036/17036	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261fc08f4-428c%22	https://boreddoge.mintings.art/scripts/range.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/range.js	(from https://boreddoge.mintings.art/)
23:24:25	16182/16182	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22620b87fc-3f36%22	https://boreddoge.mintings.art/scripts/meta.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/meta.js	(from https://boreddoge.mintings.art/)
23:24:25	236/236	---M--	200	added ('OK')	application/x-javascript	etag:%22620b86e8-ec%22	https://boreddoge.mintings.art/scripts/update.js	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/scripts/update.js	(from https://boreddoge.mintings.art/)
23:24:25	447/447	---M--	200	added ('OK')	image/png	etag:%2262034550-1bf%22	https://boreddoge.mintings.art/images/icons/burger-icon.png	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/icons/burger-icon.png	(from https://boreddoge.mintings.art/style.css?ver=0.0.5)
23:24:26	83920/83920	---M--	200	added ('OK')	image/jpeg	etag:%22620b7fd6-147d0%22	https://boreddoge.mintings.art/images/background/faq-background.jpg	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/images/background/faq-background.jpg	(from https://boreddoge.mintings.art/style.css?ver=0.0.5)
23:24:26	34380/34380	---M--	200	added ('OK')	application/octet-stream	etag:%2261fc2f06-864c%22	https://boreddoge.mintings.art/fonts/MonumentExtended-Regular.otf	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/fonts/MonumentExtended-Regular.otf	(from https://boreddoge.mintings.art/style.css?ver=0.0.5)
23:24:26	33528/33528	---M--	200	added ('OK')	application/octet-stream	etag:%2261fc2e7a-82f8%22	https://boreddoge.mintings.art/fonts/MonumentExtended-Ultrabold.otf	C:/WebDev/https___boreddoge.mintings.art_/boreddoge.mintings.art/fonts/MonumentExtended-Ultrabold.otf	(from https://boreddoge.mintings.art/style.css?ver=0.0.5)
